system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,subsample,pca,100,7,3,3,4,0.43500037641431377,14,0.12481304461222356,3,0.45644930895903685,3,0.45644930895903685,2,0.757200446350641,0.45644930895903685
alanine,subsample,tica,100,0,3,3,1,0.0,14,0.006016215218496464,1,0.0,3,-0.0030390029992907806,2,-0.01257321328342953,-0.0030390029992907806
alanine,subsample,tica,100,1,3,3,1,0.0,11,0.03311402272562552,1,0.0,2,0.02417494056775276,3,-0.0006919671789678291,-0.0006919671789678291
alanine,subsample,tica,100,2,3,3,1,0.0,14,0.009542184604108371,1,0.0,13,0.0006778061388644602,2,-0.014779337815368809,-0.00389295729993468
alanine,subsample,tica,100,3,3,3,1,0.0,14,0.04855544646621264,1,0.0,3,0.13039567111315759,2,0.1070867292862103,0.13039567111315759
alanine,subsample,tica,100,4,3,3,1,0.0,14,0.01914158298580828,1,0.0,2,0.05271675693157004,3,-0.014635717593058603,-0.014635717593058603
alanine,subsample,tica,100,5,3,3,1,0.0,15,0.04555516916735227,1,0.0,12,0.03755753225787326,3,0.019972547641947988,0.019972547641947988
alanine,subsample,tica,100,6,3,3,1,0.0,14,0.03196853626129083,1,0.0,3,0.07345872111024705,2,0.03279565357078114,0.07345872111024705
alanine,subsample,tica,100,7,3,3,1,0.0,14,0.00963234740294996,1,0.0,14,0.00963234740294996,3,-0.006186449336415206,-0.006186449336415206
alanine,subsample,vae,100,0,3,3,1,0.0,1,0.0,1,0.0,6,0.2456660565710495,2,0.6965705725298551,0.4152814049588896
alanine,subsample,vae,100,1,3,3,1,0.0,1,0.0,1,0.0,3,0.20938118876264783,3,0.20938118876264783,0.20938118876264783
alanine,subsample,vae,100,2,3,3,1,0.0,1,0.0,1,0.0,3,0.23724982674124015,2,0.7121194596264471,0.23724982674124015
alanine,subsample,vae,100,3,3,3,1,0.0,1,0.0,1,0.0,3,0.2564425862335685,3,0.2564425862335685,0.2564425862335685
alanine,subsample,vae,100,4,3,3,1,0.0,1,0.0,1,0.0,2,-0.037439542684064867,2,-0.037439542684064867,0.29292662853359713
alanine,subsample,vae,100,5,3,3,1,0.0,1,0.0,1,0.0,4,0.360550604617889,2,0.7085267351339498,0.412227949229743
alanine,subsample,vae,100,6,3,3,1,0.0,1,0.0,1,0.0,5,0.16308974703956966,2,0.6461680182746631,0.33779202654561674
alanine,subsample,vae,100,7,3,3,1,0.0,1,0.0,1,0.0,3,0.23630007293838193,3,0.23630007293838193,0.23630007293838193
alanine,subsample,pca,250,0,3,3,5,0.30045446224098776,8,0.20726477973992558,3,0.45501629856450493,3,0.45501629856450493,3,0.45501629856450493,0.45501629856450493
alanine,subsample,pca,250,1,3,3,4,0.4479793478176256,14,0.1273165792264737,4,0.4479793478176256,3,0.4482170026048345,2,0.7470362886095215,0.4482170026048345
alanine,subsample,pca,250,2,3,3,4,0.38231364935695894,11,0.18911040262396578,3,0.4015082539765298,3,0.4015082539765298,2,0.7574043830298057,0.4015082539765298
alanine,subsample,pca,250,3,3,3,4,0.4270886734294277,8,0.2576988195686947,3,0.4374310000908485,3,0.4374310000908485,3,0.4374310000908485,0.4374310000908485
alanine,subsample,pca,250,4,3,3,4,0.4515343415198812,10,0.1691383089610278,3,0.4661313554140635,3,0.4661313554140635,2,0.7552448737893852,0.4661313554140635
alanine,subsample,pca,250,5,3,3,4,0.41950358323083775,6,0.272838448383121,4,0.41950358323083775,3,0.4310351873441583,2,0.7369379833831518,0.4310351873441583
alanine,subsample,pca,250,6,3,3,5,0.2910445356282938,7,0.2766952225822924,3,0.42658592734814643,3,0.42658592734814643,2,0.7023481112670983,0.42658592734814643
alanine,subsample,pca,250,7,3,3,4,0.4693911230393367,7,0.244145607996775,3,0.4415062896140981,3,0.4415062896140981,2,0.7319633806334236,0.4415062896140981
