system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,tica,500,1,3,2,2,0.9435016244419224,2,0.9435016244419224,2,0.9435016244419224,2,0.9435016244419224,2,0.9435016244419224,0.8614168487304155
alanine,short,tica,500,2,3,2,2,0.952480982577171,2,0.952480982577171,2,0.952480982577171,2,0.952480982577171,2,0.952480982577171,0.7467910220148541
alanine,short,tica,500,3,3,2,2,0.9839947950075317,4,0.5629889647336632,2,0.9839947950075317,2,0.9839947950075317,2,0.9839947950075317,0.6233243599459379
alanine,short,tica,500,4,3,2,3,0.5911731337812768,3,0.5911731337812768,2,0.9750912033195522,2,0.9750912033195522,2,0.9750912033195522,0.5911731337812768
alanine,short,tica,500,5,3,2,3,0.49656952548691435,4,0.3195971201206583,2,0.9898044934717042,2,0.9898044934717042,2,0.9898044934717042,0.49656952548691435
alanine,short,tica,500,6,3,2,1,0.0,2,-0.0022938185029435076,1,0.0,13,0.00808195432076061,3,0.03300841624249138,0.03300841624249138
alanine,short,tica,500,7,3,3,2,0.9787790953406432,3,0.8086045416275023,2,0.9787790953406432,2,0.9787790953406432,2,0.9787790953406432,0.8086045416275023
alanine,short,vae,500,0,3,2,1,0.0,3,0.4294850412651702,1,0.0,3,0.4294850412651702,3,0.4294850412651702,0.4294850412651702
alanine,short,vae,500,1,3,2,1,0.0,5,0.23269549877296633,1,0.0,3,0.398802851543816,2,0.5102530834614044,0.398802851543816
alanine,short,vae,500,2,3,2,1,0.0,6,0.33450871489541706,1,0.0,3,0.5239394196949635,3,0.5239394196949635,0.5239394196949635
alanine,short,vae,500,3,3,2,1,0.0,5,0.34346272931765115,1,0.0,3,0.49464696954900017,3,0.49464696954900017,0.49464696954900017
alanine,short,vae,500,4,3,2,2,0.9106651143020779,2,0.9106651143020779,1,0.0,3,0.4642269458236668,3,0.4642269458236668,0.4642269458236668
alanine,short,vae,500,5,3,2,1,0.0,3,0.3635712757509382,1,0.0,4,0.2566537716585704,2,-0.012730796394745475,0.3635712757509382
alanine,short,vae,500,6,3,2,1,0.0,5,0.07974657735654583,1,0.0,6,0.06834343713752036,2,0.014733641444723418,0.14091121504981208
alanine,short,vae,500,7,3,3,1,0.0,3,0.4701053878044529,1,0.0,3,0.4701053878044529,3,0.4701053878044529,0.4701053878044529
alanine,short,pca,1000,0,3,2,6,0.2602101426248732,11,0.14433804071083856,4,0.45441900801199664,3,0.48677885739710325,3,0.48677885739710325,0.48677885739710325
alanine,short,pca,1000,1,3,2,6,0.22701494439137168,8,0.16979491180831044,3,0.4557385834501892,3,0.4557385834501892,3,0.4557385834501892,0.4557385834501892
alanine,short,pca,1000,2,3,2,5,0.3654695294522034,12,0.16948999728211694,4,0.5366575222947348,3,0.5754256207294836,3,0.5754256207294836,0.5754256207294836
alanine,short,pca,1000,3,3,2,7,0.29201681643410043,14,0.14638054726825714,3,0.6347456545767997,3,0.6347456545767997,3,0.6347456545767997,0.6347456545767997
alanine,short,pca,1000,4,3,2,6,0.28383539468064795,9,0.1779921409979375,4,0.48738756306127934,3,0.5267178163629956,3,0.5267178163629956,0.5267178163629956
alanine,short,pca,1000,5,3,2,4,0.46910400516640544,15,0.12550776428698865,3,0.5529383933671497,3,0.5529383933671497,3,0.5529383933671497,0.5529383933671497
alanine,short,pca,1000,6,3,2,5,0.20952722869093984,12,0.08867196552395007,4,0.4063523611276797,4,0.4063523611276797,3,0.40481689284281963,0.40481689284281963
alanine,short,pca,1000,7,3,3,6,0.3973509995615115,7,0.2875869551442314,3,0.6000893846627194,3,0.6000893846627194,3,0.6000893846627194,0.6000893846627194
alanine,short,tica,1000,0,3,2,4,0.5159645897033219,4,0.5159645897033219,2,0.950663798338763,2,0.950663798338763,3,0.7656203260378567,0.7656203260378567
alanine,short,tica,1000,1,3,2,2,0.95120585086238,3,0.9105406653022885,2,0.95120585086238,2,0.95120585086238,2,0.95120585086238,0.9105406653022885
alanine,short,tica,1000,2,3,2,3,0.9301562783312648,3,0.9301562783312648,2,0.9559705252123157,2,0.9559705252123157,2,0.9559705252123157,0.9301562783312648
alanine,short,tica,1000,3,3,2,3,0.8547543230239805,8,0.3094679041602636,2,0.9760806558206467,2,0.9760806558206467,2,0.9760806558206467,0.8547543230239805
alanine,short,tica,1000,4,3,2,4,0.5029887368284902,4,0.5029887368284902,3,0.9286580223744221,2,0.9789616644607811,2,0.9789616644607811,0.9286580223744221
alanine,short,tica,1000,5,3,2,3,0.6880978437289971,7,0.299266609465037,2,0.9557487143829422,2,0.9557487143829422,2,0.9557487143829422,0.6880978437289971
alanine,short,tica,1000,6,3,2,2,0.9464982558088204,5,0.20372460154692004,2,0.9464982558088204,2,0.9464982558088204,3,0.3664806762805811,0.3664806762805811
alanine,short,tica,1000,7,3,3,3,0.9268327319363997,3,0.9268327319363997,2,0.957494494818508,2,0.957494494818508,2,0.957494494818508,0.9268327319363997
alanine,short,vae,1000,0,3,2,3,0.4789790083211833,8,0.16696437846567436,1,0.0,3,0.4789790083211833,3,0.4789790083211833,0.4789790083211833
