system,mode,method,n_frames,seed,k_true,k_visited,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k
alanine,short,tica,1000,0,3,3,2,0.9471363839749338,4,0.4569182893840799,2,0.9471363839749338,2,0.9471363839749338,2,0.9471363839749338,0.479232945017428
alanine,short,tica,1000,1,3,2,3,0.9143389036221578,4,0.7887613130410454,2,0.9564379879285062,2,0.9564379879285062,2,0.9564379879285062,0.9143389036221578
alanine,short,tica,1000,2,3,3,2,0.9356767864051935,4,0.45178350598379563,2,0.9356767864051935,2,0.9356767864051935,2,0.9356767864051935,0.4687144106173712
alanine,short,tica,1000,3,3,3,4,0.490738175886803,4,0.490738175886803,2,0.9224688681168289,2,0.9224688681168289,2,0.9224688681168289,0.5481471124062701
alanine,short,tica,1000,4,3,3,3,0.9022072657807075,3,0.9022072657807075,2,0.9383288976996366,2,0.9383288976996366,2,0.9383288976996366,0.9022072657807075
alanine,short,tica,1000,5,3,3,3,0.9176769360830259,5,0.4870658063217206,2,0.9467548217450179,2,0.9467548217450179,2,0.9467548217450179,0.9176769360830259
alanine,short,tica,1000,6,3,2,3,0.9164443927196242,3,0.9164443927196242,2,0.95252545642516,2,0.95252545642516,2,0.95252545642516,0.9164443927196242
alanine,short,tica,1000,7,3,2,4,0.47316195472748307,4,0.47316195472748307,2,0.9457439647021301,2,0.9457439647021301,2,0.9457439647021301,0.4989312586137542
alanine,short,vae,1000,0,3,3,2,0.8951877666336147,5,0.26726165882551123,1,0.0,3,0.45314389923680765,3,0.45314389923680765,0.45314389923680765
alanine,short,vae,1000,1,3,2,2,0.9100230560238747,4,0.47998167285352633,1,0.0,3,0.5409457069912492,3,0.5409457069912492,0.5409457069912492
alanine,short,vae,1000,2,3,3,2,0.8801869987715647,4,0.3235191120675384,1,0.0,3,0.45229119380672367,3,0.45229119380672367,0.45229119380672367
alanine,short,vae,1000,3,3,3,1,0.0,4,0.317935903254749,1,0.0,3,0.4843869654808262,2,0.6561366230408848,0.4843869654808262
alanine,short,vae,1000,4,3,3,2,0.9074712709840366,9,0.2116318088379434,1,0.0,3,0.5199253011434368,2,0.9074712709840366,0.5199253011434368
alanine,short,vae,1000,5,3,3,2,0.896837741881935,13,0.16290512793392753,1,0.0,3,0.5697862337560947,2,0.896837741881935,0.5697862337560947
alanine,short,vae,1000,6,3,2,1,0.0,5,0.3235729803562218,1,0.0,3,0.28192294768951753,2,0.8206545179865694,0.28192294768951753
alanine,short,vae,1000,7,3,2,3,0.5073003876215825,14,0.10050799594354633,1,0.0,3,0.5073003876215825,3,0.5073003876215825,0.5073003876215825
alanine,short,pca,2000,0,3,3,6,0.3393974258306455,12,0.1652420933119071,3,0.6246511154337415,3,0.6246511154337415,2,0.8991610234018005,0.6246511154337415
alanine,short,pca,2000,1,3,2,8,0.30809261802771426,13,0.16545352412204303,3,0.6584489420651457,3,0.6584489420651457,2,0.8967471050392026,0.6584489420651457
alanine,short,pca,2000,2,3,3,7,0.3087383536970577,12,0.18123096648856837,3,0.6376043889997667,3,0.6376043889997667,2,0.8993283572008131,0.6376043889997667
alanine,short,pca,2000,3,3,3,6,0.3422968294903442,9,0.25678487751574214,3,0.6417343302164055,3,0.6417343302164055,2,0.8918479579917457,0.6417343302164055
alanine,short,pca,2000,4,3,3,7,0.3421009187476981,12,0.1680729874728722,3,0.6486434328682541,3,0.6486434328682541,2,0.8975699673425056,0.6486434328682541
