potential,method,n_frames,dim,seed,k_true,k_bic,ari_bic,k_aic,ari_aic,k_icl,ari_icl,k_silhouette,ari_silhouette,k_elbow_gap,ari_elbow_gap,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,pca,4000,2,0,4,13,0.3820266527921644,15,0.3117045969295053,7,0.5525810323388012,4,0.8287065224980483,2,0.47614460733493713,0.8287065224980483,False,5.231220245361328
prinz1d,pca,4000,2,1,4,13,0.39294005235717444,15,0.34700164008671713,7,0.5641732852874777,4,0.8656673982219784,2,0.5011741804619669,0.8656673982219784,False,5.591416597366333
prinz1d,pca,4000,2,2,4,13,0.41877956833471386,15,0.34389832310382645,8,0.5696700935243074,4,0.8795389715764425,2,0.4957371815187006,0.8795389715764425,False,5.272812128067017
prinz1d,pca,4000,2,3,4,13,0.3884142013785632,15,0.35550148127595743,8,0.549072181938481,4,0.8730876286646531,2,0.4818793349357112,0.8730876286646531,False,5.5361647605896
prinz1d,pca,4000,2,4,4,15,0.350056672424164,15,0.350056672424164,7,0.5821183928026065,4,0.9052670151878769,2,0.48431586802907134,0.9052670151878769,False,4.9862377643585205
prinz1d,pca,4000,2,5,4,12,0.4510353868893495,15,0.368096919728925,8,0.5679968937724809,4,0.9210272148382456,2,0.4985989124716803,0.9210272148382456,False,5.493826866149902
prinz1d,pca,4000,2,6,4,15,0.3134650851601552,15,0.3134650851601552,5,0.7460478994809253,4,0.8759394726034871,2,0.4669978352822552,0.8759394726034871,False,5.577958822250366
prinz1d,pca,4000,2,7,4,13,0.40379147632828744,15,0.3515995948751459,9,0.5341073397706894,4,0.9095287111939248,2,0.49100998106738514,0.9095287111939248,False,5.22338080406189
prinz1d,pca,4000,2,8,4,13,0.38907567238852087,15,0.33996355486852736,6,0.6995555192336154,4,0.9032713013777696,2,0.4844983475936916,0.9032713013777696,False,5.695312023162842
prinz1d,pca,4000,2,9,4,11,0.47834330132130315,15,0.35030627400635894,6,0.6995424249643127,4,0.8974978905871558,2,0.5124413445403869,0.8974978905871558,False,5.609265327453613
prinz1d,pca,4000,3,0,4,13,0.3984587628275271,15,0.3454215093784342,9,0.4694304770092048,4,0.8766912751719107,2,0.4775756398991475,0.8766912751719107,False,5.641030788421631
prinz1d,pca,4000,3,1,4,14,0.37518374455722475,15,0.3474243676109297,9,0.5178066571919462,4,0.9061292630937716,2,0.5022266707378594,0.9061292630937716,False,5.5239105224609375
prinz1d,pca,4000,3,2,4,14,0.3735641941191314,15,0.3778342140949762,11,0.49001311799478503,4,0.9055541709598233,2,0.4961917508344317,0.9055541709598233,False,5.556410074234009
prinz1d,pca,4000,3,3,4,15,0.37909622578546304,15,0.37909622578546304,8,0.5503702710023382,4,0.9140316036183128,2,0.48282772015691594,0.9140316036183128,False,5.501161575317383
prinz1d,pca,4000,3,4,4,13,0.41323092912582915,15,0.36039369291173134,8,0.5493446383488744,4,0.9302629003029124,2,0.48431586802907134,0.9302629003029124,False,5.405807971954346
prinz1d,pca,4000,3,5,4,15,0.37616696855148224,15,0.37616696855148224,8,0.5851522042194122,4,0.9595886039394768,2,0.4991114911141721,0.9595886039394768,False,5.224827766418457
prinz1d,pca,4000,3,6,4,14,0.36722791467823424,15,0.3154426848854207,9,0.4876091207422816,4,0.899100013826213,2,0.4684407318421082,0.899100013826213,False,5.487496376037598
prinz1d,pca,4000,3,7,4,13,0.3985649925809891,15,0.38388916601097306,10,0.49886577958048056,4,0.9473125462271674,2,0.4915042637831914,0.9473125462271674,False,5.44934606552124
prinz1d,pca,4000,3,8,4,14,0.3769102247291124,15,0.36667090034560584,8,0.5543526079454996,4,0.9195099748563237,2,0.4859840977871738,0.9195099748563237,False,5.581197738647461
prinz1d,pca,4000,3,9,4,13,0.42359919727497064,15,0.38105507899628827,9,0.5426127136993638,4,0.91657981306101,2,0.515102882378776,0.91657981306101,False,5.4993720054626465
prinz1d,pca,4000,5,0,4,13,0.376882499317956,15,0.3495170419425111,10,0.452454752928772,4,0.9322777627625957,2,0.4775756398991475,0.9322777627625957,False,5.818736791610718
prinz1d,pca,4000,5,1,4,13,0.40181978409929314,15,0.35476729822415687,10,0.4837977531890381,4,0.9366162451400395,2,0.5022266707378594,0.9366162451400395,False,5.758141040802002
prinz1d,pca,4000,5,2,4,13,0.39693914047866286,15,0.3571989436757195,10,0.48445316222724416,4,0.9394811300023803,2,0.4967818432425574,0.9394811300023803,False,6.032854795455933
prinz1d,pca,4000,5,3,4,12,0.41905321388993105,15,0.3425502803834197,11,0.44534148294205506,4,0.9524280568094279,2,0.48235329019148226,0.9524280568094279,False,5.806289434432983
prinz1d,pca,4000,5,4,4,12,0.4367839621735492,15,0.3613873464205497,9,0.49667255885775624,4,0.9644795938126992,2,0.48431586802907134,0.9644795938126992,False,5.692232131958008
prinz1d,pca,4000,5,5,4,12,0.4470144966380839,15,0.37231785880611656,8,0.5941598070743955,4,0.9785724801544989,2,0.4991114911141721,0.9785724801544989,False,5.676433324813843
