potential,n_frames,lag,seed,n_usable_pairs,k_true,k_bic,ari_bic,ari_oracle_k,degenerate_embedding,runtime_s
prinz1d,1000,5,7,995,4,2,0.4665833885861955,0.38510530861552383,False,1.4959862232208252
prinz1d,1000,5,8,995,4,2,0.4532699947338143,0.30785540446551074,False,1.547121524810791
prinz1d,1000,5,9,995,4,2,0.5048916600425892,0.33779557764043366,False,1.5008633136749268
prinz1d,1000,10,0,990,4,1,0.0,0.08999357621825313,False,1.622206687927246
prinz1d,1000,10,1,990,4,2,0.2975853659438309,0.1862279855072021,False,1.583690881729126
prinz1d,1000,10,2,990,4,1,0.0,0.12313366277861748,False,1.5390987396240234
prinz1d,1000,10,3,990,4,2,0.33727098864466537,0.2335738961443618,False,1.5578787326812744
prinz1d,1000,10,4,990,4,1,0.0,0.052131439032515076,False,1.6278135776519775
prinz1d,1000,10,5,990,4,2,0.42350025397936103,0.30195950508446895,False,1.6155753135681152
prinz1d,1000,10,6,990,4,1,0.0,0.13721945999958626,False,1.5918121337890625
prinz1d,1000,10,7,990,4,2,0.32372768570205623,0.22630067393139425,False,1.5716173648834229
prinz1d,1000,10,8,990,4,1,0.0,0.11239348559953512,False,1.4572818279266357
prinz1d,1000,10,9,990,4,1,0.0,0.13686159148314922,False,1.689795970916748
prinz1d,1000,20,0,980,4,1,0.0,0.02929678189751492,False,1.8101720809936523
prinz1d,1000,20,1,980,4,1,0.0,0.015303111765820863,False,1.8288447856903076
prinz1d,1000,20,2,980,4,1,0.0,0.05182722158217485,False,1.8506832122802734
prinz1d,1000,20,3,980,4,1,0.0,0.041046512065809275,False,2.3002145290374756
prinz1d,1000,20,4,980,4,1,0.0,0.03331683348251338,False,1.6705656051635742
prinz1d,1000,20,5,980,4,1,0.0,0.06251667387258175,False,1.5010921955108643
prinz1d,1000,20,6,980,4,1,0.0,0.11956898229176727,False,2.0801010131835938
prinz1d,1000,20,7,980,4,1,0.0,0.07307983305512152,False,1.8309707641601562
prinz1d,1000,20,8,980,4,1,0.0,0.058189244717696584,False,1.8214168548583984
prinz1d,1000,20,9,980,4,1,0.0,0.08019400214570112,False,1.7242443561553955
prinz1d,1000,50,0,950,4,1,0.0,0.039040915361539245,False,1.831536054611206
prinz1d,1000,50,1,950,4,1,0.0,0.06330402560830901,False,1.5399680137634277
prinz1d,1000,50,2,950,4,1,0.0,0.042739322428509946,False,1.728116750717163
prinz1d,1000,50,3,950,4,1,0.0,0.004246183442103994,False,1.5563831329345703
prinz1d,1000,50,4,950,4,2,0.34255330442840304,0.24899957395157848,False,1.5568482875823975
prinz1d,1000,50,5,950,4,1,0.0,0.07433838578842064,False,1.6456871032714844
